N;Tiempo
100;0.00100
200;0.00600
300;0.00999
400;0.02199
500;0.02698
600;0.04097
700;0.04997
800;0.06596
900;0.08495
1000;0.10694
1100;0.14091
1200;0.15391
1300;0.18089
1400;0.23985
1500;0.24085
1600;0.29982
1700;0.31380
1800;0.36178
1900;0.42174
2000;0.45672
2100;0.51468
2200;0.56765
2300;0.58664
2400;0.64460
2500;0.68157
2600;0.79651
2700;0.89145
2800;1.06434
2900;0.96740
3000;0.99638
3100;1.12030
3200;1.12830
3300;1.23123
3400;1.35016
3500;1.35616
3600;1.44510
3700;1.52805
3800;1.67296
3900;1.78589
4000;1.93380
4100;2.12867
4200;2.06672
4300;2.09670
4400;2.17665
4500;2.33955
4600;2.43349
4700;2.74030
4800;2.55042
4900;2.70032
5000;2.84324
