N;Tiempo
100;0.00500
200;0.01099
300;0.02398
400;0.03897
500;0.06196
600;0.09094
700;0.13491
800;0.17989
900;0.21187
1000;0.26883
1100;0.33079
1200;0.46771
1300;0.58364
1400;0.58164
1500;0.64960
1600;0.70556
1700;0.80850
1800;0.93642
1900;1.03236
2000;1.15428
2100;1.25422
2200;1.39313
2300;1.48408
2400;1.63099
2500;1.75791
2600;1.89183
2700;2.11768
2800;2.21662
2900;2.36653
3000;2.53642
3100;2.71231
3200;2.95916
3300;3.16203
3400;3.32993
3500;3.46785
3600;3.86860
3700;3.94255
3800;4.07947
3900;4.29533
4000;4.56517
4100;4.80202
4200;5.07485
4300;5.23375
4400;5.56754
4500;5.81939
4600;6.04724
4700;6.60889
4800;7.06561
4900;7.29947
5000;10.96719
