N;Tiempo
100;0.05896
200;0.08595
300;0.12792
400;0.16989
500;0.24085
600;0.26084
700;0.44493
800;0.48769
900;0.38676
1000;0.45172
1100;0.45772
1200;0.53067
1300;0.58963
1400;0.61662
1500;0.64360
1600;0.69157
1700;0.82149
1800;0.76552
1900;1.06767
2000;0.87845
2100;1.01940
2200;0.93942
2300;0.99638
2400;1.32000
2500;1.25704
2600;1.37155
2700;1.45286
2800;1.19626
2900;1.18628
3000;1.20176
3100;1.25224
3200;1.52057
3300;1.78142
3400;1.84765
3500;1.75653
3600;1.62416
3700;1.48359
3800;1.69226
3900;1.77947
4000;1.69347
4100;1.64700
4200;1.78042
4300;1.98139
4400;1.90683
4500;1.98628
4600;2.29803
4700;2.35006
4800;2.26282
4900;2.15519
5000;2.78635
