N;Tiempo
100;0.05297
200;0.09694
300;0.15590
400;0.23685
500;0.29182
600;0.45172
700;0.57664
800;0.54366
900;0.85047
1000;0.91943
1100;0.95641
1200;1.13729
1300;1.26721
1400;1.70494
1500;1.63298
1600;1.46209
1700;1.59252
1800;1.70147
1900;1.92709
2000;1.91633
2100;2.05174
2200;2.35307
2300;2.80434
2400;3.09212
2500;2.83028
2600;2.93270
2700;3.41319
2800;3.40308
2900;3.66379
3000;3.85295
3100;3.88762
3200;4.16263
3300;4.50392
3400;4.60869
3500;4.90784
3600;5.06466
3700;5.34001
3800;6.22291
3900;5.84902
4000;6.47651
4100;6.57852
4200;6.58542
4300;6.93851
4400;7.36728
4500;7.77048
4600;8.02409
4700;8.06356
4800;8.55378
4900;8.80382
5000;9.25222
