N;Tiempo
100;0.01563
200;0.01563
300;0.03125
400;0.03125
500;0.03125
600;0.04687
700;0.06250
800;0.07812
900;0.09375
1000;0.10937
1100;0.12500
1200;0.15624
1300;0.15625
1400;0.20312
1500;0.21874
1600;0.21874
1700;0.26562
1800;0.26561
1900;0.32812
2000;0.34374
2100;0.39061
2200;0.48436
2300;0.60935
2400;0.49998
2500;0.60935
2600;0.61071
2700;1.51557
2800;1.53120
2900;1.60932
3000;1.01401
3100;0.98435
3200;0.99997
3300;1.01559
3400;1.04684
3500;1.12496
3600;1.23433
3700;1.29683
3800;1.32808
3900;1.35933
4000;1.48433
4100;1.43746
4200;1.53260
4300;1.67182
4400;1.65620
4500;2.51555
4600;1.93743
4700;2.06243
4800;2.42180
4900;2.53117
5000;2.54837
