Seleccion
N;Tiempo
100;0.00100
200;0.00300
300;0.01000
400;0.01799
500;0.02498
600;0.03198
700;0.03898
800;0.05297
900;0.06396
1000;0.08195
1100;0.09494
1200;0.11193
1300;0.14391
1400;0.16090
1500;0.19288
1600;0.20487
1700;0.24585
1800;0.27283
1900;0.31580
2000;0.32280
2100;0.38276
2200;0.41774
2300;0.52867
2400;0.52467
2500;0.58669
2600;0.54567
2700;0.61962
2800;0.67558
2900;0.70757
3000;0.76811
3100;0.76620
3200;0.83406
3300;0.88008
3400;0.93621
3500;0.97040
3600;1.02295
3700;1.07635
3800;1.15380
3900;1.20390
4000;1.27537
4100;1.46662
4200;1.42832
4300;1.48559
4400;1.55860
4500;1.60305
4600;1.68401
4700;1.74996
4800;1.84391
4900;1.93787
5000;1.98433
